X,Y,L,a,b,Var_L,Var_a,Var_b
329,458,37,144,127,2.9586756251791515,4.142318244978981,7.149124880469171
369,458,98,153,130,1.08622052180379,3.5979769807699378,7.350140153270205
410,458,63,138,98,1.2348435620502296,4.574735198162936,5.2300900669868975
450,458,45,127,132,2.4197458914703747,5.303602704416284,7.496874508210766
289,499,68,134,91,0.9248833135918342,4.807891043326682,4.770460801053223
491,499,74,151,93,0.5356989658855544,3.7001189365585536,4.921875
289,540,73,173,108,0.619379664649547,2.2563040314345595,5.879636727756918
491,540,109,116,114,1.8297550423569562,6.015310121033666,6.288039649072655
289,582,140,138,170,3.892499119228415,4.570312500000001,10.020348840430016
329,582,174,138,118,6.140013701250714,4.570312500000001,6.5625
369,582,153,137,118,4.746666629873428,4.628906249999999,6.5625
410,582,140,136,118,3.925063835445764,4.697104094581281,6.5625
450,582,124,137,116,2.8575058533231417,4.654565921192377,6.445312499999999
491,582,94,163,156,0.8140103900068245,2.8872870223606726,9.129387623701223
289,623,51,171,138,2.02476051846757,2.3524176327310196,7.910156250000002
329,623,101,136,117,1.278049550085163,4.673979547185789,6.490095435992737
369,623,83,137,115,0.21535396309422125,4.628906249999999,6.386718749999999
410,623,73,137,115,0.5638467533290945,4.628906249999999,6.386718749999999
450,623,57,136,115,1.640625,4.6875,6.386718749999999
491,623,42,156,79,2.663731088435057,3.352873432431688,3.938615913300001
289,664,70,110,139,0.7976788225258648,6.445312499999999,7.979197390188713
329,664,34,137,115,3.1636170757468918,4.627838066205769,6.379926302439196
369,664,18,137,115,4.2333817998430225,4.632670880901218,6.334079491465567
410,664,10,137,114,4.74609375,4.628906249999999,6.3264323482253335
450,664,10,137,114,4.748092192257695,4.625967906806197,6.324922223993499
491,664,69,173,132,0.8395530626787635,2.2265625,7.507917293044567
329,706,22,158,80,3.934400519302663,3.2158308402594904,4.04296875
369,706,110,149,160,1.8769857753188883,3.810353583636443,9.376640189354106
410,706,109,119,158,1.8445613685335125,5.800781250000001,9.256822153078664
450,706,18,151,102,4.235409557808605,3.7462561853917875,5.491755939668836
